notice,name,inst_type,entity,permco,dt_start,dt_end,PERMNO,date,TICKER,COMNAM
,"PINNACLE FINANCIAL PARTNERS, INC.",Bank Holding Company,2925657,43147,20020531,20210930,89395,2022-12-30,PNFP,PINNACLE FINANCIAL PARTNERS INC
,"WEST BANCORPORATION, INC.",Bank Holding Company,1210066,43261,20020628,20210930,89425,2022-12-30,WTBA,WEST BANCORPORATION INC
,"FIRST PACTRUST BANCORP, INC.",Bank holding company,3153130,43449,20020830,20210930,89482,2022-12-30,BANC,BANC OF CALIFORNIA INC
,"PARKE BANCORP, INC",Bank Holding Company,3347292,43689,20050602,20210930,89573,2022-12-30,PKBK,PARKE BANCORP INC
,VILLAGE BANK AND TRUST FINANCIAL CORP.,Bank Holding Company,3251027,43692,20040501,20210930,89576,2022-12-30,VBFC,VILLAGE BANK AND TRUST FINL CORP
,FIRST COMMUNITY CORPORATION,Bank Holding Company,2337401,43845,20030131,20210930,89643,2022-12-30,FCCO,FIRST COMMUNITY CORP SC
,"PROVIDENT FINANCIAL SERVICES, INC.",Bank Holding Company,3133637,43857,20030131,20210930,89653,2022-12-30,PFS,PROVIDENT FINANCIAL SVCS INC
,"HEARTLAND FINANCIAL USA, INC.",Bank Holding Company,1206546,44055,20030530,20210930,89736,2022-12-30,HTLF,HEARTLAND FINANCIAL USA INC
,"OPTIMUMBANK HOLDINGS, INC.",Bank Holding Company,3251661,44059,20040430,20210930,89741,2022-12-30,OPHC,OPTIMUMBANK HOLDINGS INC
,"TEXAS CAPITAL BANCSHARES, INC.",Bank Holding Company,2706735,44292,20030829,20210930,89826,2022-12-30,TCBI,TEXAS CAPITAL BANCSHARES INC
,UNIVEST CORPORATION OF PENNSYLVANIA,Bank Holding Company,1116609,44293,20030829,20210930,89828,2022-12-30,UVSP,UNIVEST FINANCIAL CORP
,"BANCORP, INC., THE",Bank Holding Company,2858951,44891,20040203,20210930,90490,2022-12-30,TBBK,BANCORP INC
,HILLTOP HOLDINGS INC,Bank Holding Company,3838727,44892,20121201,20210930,90037,2022-12-30,HTH,HILLTOP HOLDINGS INC
,CENTRAL VALLEY COMMUNITY BANCORP,Bank Holding Company,2935405,44995,20040331,20210930,90082,2022-12-30,CVCY,CENTRAL VALLEY COMM BANCORP
,SIGNATURE BANK,Commercial Bank,2942690,44999,20040331,20210930,90090,2022-12-30,SBNY,SIGNATURE BANK NEW YORK N Y
,"SOUTHERN FIRST BANCSHARES, INC.",Bank Holding Company,2849799,45559,20040930,20210930,90358,2022-12-30,SFST,SOUTHERN FIRST BANCSHARES INC
,AMES NATIONAL CORPORATION,Bank Holding Company,1202258,45993,20041231,20210930,90470,2022-12-30,ATLO,AMES NATL CORP
,CITIZENS AND NORTHERN CORPORATION,Bank Holding Company,1143623,46103,20050131,20210930,90534,2022-12-30,CZNC,CITIZENS & NORTHERN CORP
,"SUMMIT FINANCIAL GROUP, INC.",Bank Holding Company,1247679,46112,20050131,20210930,90544,2022-12-30,SMMF,SUMMIT FINANCIAL GROUP INC
,"ENTERPRISE BANCORP, INC.",Bank Holding Company,2461016,46272,20050228,20210930,90590,2022-12-30,EBTC,ENTERPRISE BANCORP INC
,ENTERPRISE FINANCIAL SERVICES CORP,Bank Holding Company,2303910,46273,20050228,20210930,90591,2022-12-30,EFSC,ENTERPRISE FINANCIAL SVCS CORP
,KEARNY FINANCIAL CORP,Thrift holding company,3099443,46281,20050228,20210930,90600,2022-12-30,KRNY,KEARNY FINANCIAL CORP NEW
,PREFERRED BANK,Commercial Bank,1918344,46284,20050228,20210930,90603,2022-12-30,PFBC,PREFERRED BANK LOS ANGELES
,"BOFI HOLDING, INC.",Thrift holding company,3814310,46441,20050331,20210930,90634,2022-12-30,AX,AXOS FINANCIAL INC
,KENTUCKY FIRST FEDERAL BANCORP,Thrift holding company,3824494,46443,20050331,20210930,90636,2022-12-30,KFFB,KENTUCKY FIRST FEDERAL BANCORP
,PLUMAS BANCORP,Bank Holding Company,3098576,46694,20050531,20210930,90710,2022-12-30,PLBC,PLUMAS BANCORP
,BANKFINANCIAL CORPORATION,Thrift holding company,3035928,46844,20050630,20210930,90718,2022-12-30,BFIN,BANKFINACIAL CORP
,WESTERN ALLIANCE BANCORPORATION,Bank Holding Company,2349815,46890,20050630,20210930,90776,2022-12-30,WAL,WESTERN ALLIANCE BANCORPORATION
,"AMERIPRISE FINANCIAL, INC.",Broker/Dealer,2433312,47422,20051031,20210930,90880,2022-12-30,AMP,AMERIPRISE FINANCIAL INC
,"FIRST BUSINESS FINANCIAL SERVICES, INC.",Bank Holding Company,1247428,47877,20051031,20210930,90949,2022-12-30,FBIZ,FIRST BUSINESS FINL SVCS INC
,WATERSTONE FINANCIAL INC,Thrift holding company,4523431,47887,20140123,20210930,90961,2022-12-30,WSBF,WATERSTONE FINANCIAL INC NEW
,"BCB BANCORP, INC.",Bank Holding Company,3170539,49991,20051230,20210930,91015,2022-12-30,BCBP,B C B BANCORP INC
,LAKE SHORE BANCORP INC,Thrift holding company,3464313,50594,20060428,20210930,91176,2022-12-30,LSBK,LAKE SHORE BANCORP INC
,"FIRST BANCSHARES, INC., THE",Bank Holding Company,2385493,50731,20060531,20210930,91274,2022-12-30,FBMS,FIRST BANCSHARES INC MS
,"HOME BANCSHARES, INC.",Bank Holding Company,1491409,50861,20060630,20210930,91356,2022-12-30,HOMB,HOME BANCSHARES INC
,SUMMIT STATE BANK,Commercial Bank,561574,50979,20060731,20210930,91408,2022-12-30,SSBI,SUMMIT STATE BANK
,"PORTER BANCORP, INC.",Bank Holding Company,1249712,51209,20060929,20210930,91472,2022-12-30,LMST,LIMESTONE BANCORP INC
,"CITIZENS COMMUNITY BANCORP, INC.",Thrift holding company,3823929,51445,20061130,20210930,91609,2022-12-30,CZWI,CITIZENS CMNTY BANCORP INC MD
