notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,WESTBURY BANCORP INC,Thrift holding company,4472249,54382,20130430,20171031
,WESTBURY BANCORP INC,Commercial Bank,524971,54382,20130430,20171031
,CUSTOMERS BANCORP INC,Bank Holding Company,4284536,54408,20130531,20210930
,FIRST NBC BANK HOLDING CO,Bank Holding Company,3485541,54417,20130531,20170428
,TRISTATE CAPITAL HLDGS INC,Bank Holding Company,3475074,54422,20130531,20210930
,COMMUNITY FINANCIAL CP (THE),Bank Holding Company,2523389,54567,20130930,20210930
,STONEGATE MORTGAGE CORPORATION,Domestic Entity Other,3954878,54594,20131010,20170531
,BAYLAKE CORP,Bank Holding Company,1202708,54647,20131129,20160429
,FIRST BANK,Commercial Bank,3401970,54651,20131115,20210930
,"COASTWAY BANCORP, INC.",Bank Holding Company,4395683,54716,20140131,20181005
,TALMER BANCORP INC,Bank Holding Company,3609682,54747,20140228,20160831
,SQUARE 1 FINANCIAL INC,Bank Holding Company,3345430,54795,20140331,20151006
,OPUS BANK,Commercial Bank,2047504,54825,20140430,20200529
,PEOPLES FINANCIAL SERVICES,Bank Holding Company,1139541,54827,20140430,20210930
,BANKWELL FINANCIAL GROUP INC,Bank Holding Company,3553815,54858,20140530,20210930
,FIRST MID ILL BANCSHARES INC,Bank Holding Company,1206760,54861,20140530,20210930
,SERVISFIRST BANCSHARES INC,Bank Holding Company,3635319,54870,20140530,20210930
,STONEGATE BANK/FL,Commercial Bank,3339046,54871,20140530,20170929
,SYNCHRONY FINANCIAL,Thrift holding company,4504654,54936,20140731,20210930
,BLUE HILLS BANCORP INC,Bank Holding Company,3742020,54948,20140731,20190329
,CAROLINA FINANCIAL CORP,Bank Holding Company,2507790,54949,20140731,20200501
,INVESTAR HOLDING CORP,Bank Holding Company,4090054,54959,20140731,20210930
,"SUNSHINE BANCORP, INC.",Thrift Holding Company,4648718,54972,20140715,20171229
,C1 FINANCIAL INC,Bank Holding Company,4558901,54982,20140829,20160721
,FCB FINANCIAL HOLDINGS INC,Bank Holding Company,3944628,54983,20140829,20181231
,GREEN BANCORP INC,Bank Holding Company,3474835,54993,20140829,20181231
,CITIZENS FINANCIAL GROUP INC,Bank Holding Company,1132449,55006,20140930,20210930
,MIDDLEFIELD BANC CORP,Bank Holding Company,1398740,55027,20140930,20210930
,CB FINANCIAL SERVICES INC,Bank Holding Company,3333718,55036,20141128,20210930
,GREAT WESTERN BANCORP INC,Bank Holding Company,4809920,55050,20141031,20210930
,ENTEGRA FINANCIAL CORP,Bank Holding Company,2427665,55074,20141031,20191231
,"MELROSE BANCORP, INC.",Bank Holding Company,4647887,55079,20141022,20190731
,VERITEX HOLDINGS INC,Bank Holding Company,4105266,55085,20141031,20210930
,FIRST FOUNDATION INC,Bank Holding Company,3842658,55109,20141128,20210930
,TRIUMPH BANCORP INC,Bank Holding Company,3233126,55123,20141128,20210930
,FIRST NORTHWEST BANCORP,Bank Holding Company,4438366,55170,20150130,20210930
,COUNTY BANCORP INC,Bank Holding Company,2524788,55171,20150130,20210930
,AVENUE FINANCIAL HOLDINGS,Bank Holding Company,3541483,55189,20150227,20160630
,FRANKLIN FINL NETWORK INC,Bank Holding Company,3637582,55204,20150331,20200814
,NATIONAL COMMERCE CORP,Bank Holding Company,3551389,55213,20150331,20190329
,PEOPLES UTAH BANCORP,Bank Holding Company,2748995,55319,20150630,20210930
,COMMERCE UNION BANCSHARES/TN,Bank Holding Company,3729562,55349,20150731,20210930
,EQUITABLE FINANCIAL CORP.,Thrift Holding Company,4841041,55354,20150709,20180731
,FIRST CMNTY FINL PARTNERS,Bank Holding Company,3447585,55356,20150731,20170630
,LIVE OAK BANCSHARES INC,Bank Holding Company,3884863,55361,20150731,20210930
,PROVIDENT BANCORP INC,Bank Holding Company,2838159,55368,20150731,20191016
,ATLANTIC CAP BANCSHARES INC,Bank Holding Company,3555686,55423,20151130,20210930
,ALLEGIANCE BANCSHARES INC,Bank Holding Company,3744239,55451,20151030,20210930
,EQUITY BANCSHARES INC,Bank Holding Company,3180547,55480,20151130,20210930
,FIRST GUARANTY BANCSHARES,Bank Holding Company,3589560,55481,20151130,20210930
,SMARTFINANCIAL INC,Bank Holding Company,1131497,55508,20151231,20210930
,NICOLET BANKSHARES INC,Bank Holding Company,3103603,55525,20160229,20210930
,MIDLAND STATES BANCORP,Bank Holding Company,1491351,55567,20160531,20210930
,HARBORONE BANCORP INC,Bank Holding Company,4973362,55587,20160630,20190814
,PARAGON COMMERCIAL CORP,Bank Holding Company,3021800,55590,20160630,20180126
,"FSB BANCORP, INC.",Bank Holding Company,3793657,55616,20160714,20200430
,"RANDOLPH BANCORP, INC.",Bank Holding Company,3122846,55624,20160701,20210930
,"WCF BANCORP, INC.",Thrift Holding Company,4974631,55628,20160714,20190731
,"FIRST HAWAIIAN, INC.",Bank Holding Company,1025608,55670,20160804,20210930
,CAPSTAR FINANCIAL HLDGS INC,Bank Holding Company,4933272,55691,20160930,20210930
,FB FINANCIAL CORP,Bank Holding Company,1132104,55705,20160930,20210930
,"BANCORP 34, INC.",Thrift Holding Company,5009026,55745,20161012,20200831
,HOMETOWN BANKSHARES CORP,Bank Holding Company,3848342,55751,20161031,20190329
,CADENCE BANCORPORATION,Bank Holding Company,4037349,55903,20170428,20180914
,CADENCE BANCORPORATION,Bank Holding Company,4882802,55903,20170428,20210930
,FNB BANCORP CALIF,Bank Holding Company,3047743,55917,20170428,20180706
,PCSB FINANCIAL CORP,Bank Holding Company,5079476,55919,20170428,20210930
,FARMERS & MERCHANTS BCP/OH,Bank Holding Company,1134630,55935,20170531,20210930
,BYLINE BANCORP INC,Bank Holding Company,1204627,55968,20170630,20210930
,ESQUIRE FINCL HOLD INC,,3447820,55987,20170630,20210930
,RBB BANCORP,Bank Holding Company,4176855,56013,20170731,20210930
,BANK OF PRINCETON,Commercial Bank,3595271,56029,20170831,20210930
,CAMBRIDGE BANCORP,Bank Holding Company,1115013,56091,20171031,20210930
,FIDELITY D & D BANCORP INC,Bank Holding Company,2858773,56094,20171031,20210930
,MERCHANTS BANCORP,Bank Holding Company,3530786,56101,20171031,20210930
,CBTX INC,Bank Holding Company,3594872,56153,20171130,20210930
,MERIDIAN CORP,Commercial Bank,3271799,56158,20171130,20210930
,STERLING BANCORP INC,Thrift holding company,3852031,56160,20171130,20210930
,LUTHER BURBANK CORP,Commercial Bank,497570,56176,20171228,20210930
,LUTHER BURBANK CORP,Bank Holding Company,3814208,56176,20171229,20210930
,MVB FINANCIAL CORP,Bank Holding Company,3211601,56179,20171229,20210930
,BRIDGEWATER BANCSHARES,Bank Holding Company,3378764,56293,20180329,20210930
,FNCB BANCORP INC,Bank Holding Company,2560263,56297,20180328,20210930
,OP BANCORP,Commercial Bank,3357219,56301,20180328,20210930
,BUSINESS FIRST BANCSHS INC,Bank Holding Company,3488850,56331,20180430,20210930
,COLUMBIA FINANCIAL INC,Thrift holding company,2571120,56334,20180430,20210930
,LEVEL ONE BANCORP INC,Bank Holding Company,3612543,56340,20180430,20210930
,FIRST CHOICE BANCORP,,3374878,56362,20180531,20210721
,BAYCOM CORP,,3281510,56364,20180531,20210930
,ORIGIN BANCORP,Bank Holding Company,1885307,56376,20180531,20210930
,COASTAL FINANCIAL CORP,Bank Holding Company,3203008,56451,20180731,20210930
,FIRST WSTRN FINNCIL INC,Bank Holding Company,3189906,56459,20180731,20210930
,AMALGAMATED BK NEW YORK N Y,Bank Holding Company,4400336,56481,20180831,20210930
,AMERANT BANCORP INC,Bank Holding Company,1135972,56487,20180831,20210930
,PACIFIC CITY FINANCIAL CORP,Bank Holding Company,3595084,56488,20180831,20210930
,BANK7 CORP,Bank Holding Company,3256134,56516,20180928,20210930
,CAPITAL BANCORP INC,Bank Holding Company,2808590,56518,20180928,20210930
,FVCBANKCORP INC,,3614976,56521,20180928,20210930
,BANK FIRST NATIONAL CORP,Bank Holding Company,1208009,56557,20181031,20210930
